M010152,40.7616120189,-73.9728544476,190002
M010152,40.7622871067,-73.9723596274,190003
M010152,40.7628922148,-73.9719193355,190004
M010152,40.7628922148,-73.9719193355,200001
M010152,40.7629621931,-73.9718684071,200002
M010152,40.7635851355,-73.9714096882,200003
M010152,40.764216312,-73.970958177,200004
M010152,40.7647212485,-73.970583605,200005
M010152,40.7647212485,-73.970583605,210001
M010152,40.7648392498,-73.970495831,210002
M010152,40.7654649322,-73.9700406951,210003
M010152,40.7660906127,-73.9695855506,210004
M010152,40.7664775459,-73.9693041515,210005
M010152,40.7664775459,-73.9693041515,220001
M010152,40.7667162915,-73.9691303976,220002
M010152,40.7673419673,-73.968671626,220003
M010152,40.7678765353,-73.9682825645,220004
M010152,40.7678765353,-73.9682825645,230001
M010152,40.7679676423,-73.9682164559,230002
M010152,40.7685960592,-73.9677576657,230003
M010152,40.7688498954,-73.9675734239,230004
M010152,40.7688498954,-73.9675734239,240001
M010152,40.7692189867,-73.9673060899,240002
M010152,40.7698473998,-73.9668472825,240003
M010152,40.7701135829,-73.966652919,240004
M010152,40.7701135829,-73.966652919,250001
M010152,40.770475811,-73.9663884665,250002
M010152,40.771098733,-73.9659368652,250003
M010152,40.7717820222,-73.9654346795,250004
M010152,40.7721870555,-73.9651380591,250005
M010152,40.7721870555,-73.9651380591,260001
M010152,40.7724625654,-73.9649360953,260002
M010152,40.7730992019,-73.9644736284,260003
M010152,40.7737330917,-73.9640111541,260004
M010152,40.7738768829,-73.9639063735,260005
M010152,40.7738768829,-73.9639063735,270001
M010152,40.7743669796,-73.963548671,270002
M010152,40.7750008667,-73.9630897897,270003
M010152,40.7753586955,-73.9628278282,270004
M010152,40.7753586955,-73.9628278282,280001
M010152,40.7756374943,-73.962623677,280002
M010152,40.776318025,-73.9621250352,280003
M010152,40.7770012982,-73.9616263816,280004
M010152,40.7770012982,-73.9616263816,290001
M010152,40.7770012982,-73.9616263816,290002
M010152,40.7776351774,-73.9611674638,290003
M010152,40.778271797,-73.9607013143,290004
M010152,40.7788288374,-73.9602929748,290005
M010152,40.7788288374,-73.9602929748,300001
M010152,40.7789029264,-73.9602387698,300002
M010152,40.7795395421,-73.9597726025,300003
M010152,40.7801734124,-73.9593100388,300004
M010152,40.7808566744,-73.9588149383,300005
M010152,40.7811930901,-73.9585691929,300006
M010152,40.7811930901,-73.9585691929,310001
M010152,40.7815344446,-73.9583198311,310002
M010152,40.7821600773,-73.9578644666,310003
M010152,40.7827116199,-73.9574614995,310004
M010152,40.7827116199,-73.9574614995,320001
M010152,40.7827884516,-73.957405481,320002
M010152,40.783416824,-73.9569464866,320003
M010152,40.7840451945,-73.9564874836,320004
M010152,40.7843997153,-73.9562283421,320005
